student_id,solved_count,accuracy,attempts_per_problem,active_days,solve_speed,engagement_freq,DP,Graphs,Greedy,Math,Strings,rating_trend,improvement_slope,profile_cluster,profile_label
02de9400d3973a7cb90b367577dce96d33accefedf743df86da5837742fb2549,14,0.3181818181818182,2.7954545454545454,39,8.136363636363637,0.1205479452054794,5,8,14,8,9,255,12.75,1,Improver
041dde01b77062373029df6e4dd6652c26d66ede65ad52dc0bf65894c215b0d2,18,0.3103448275862069,3.189655172413793,56,6.137931034482759,0.1589041095890411,11,12,15,10,10,733,36.65,0,Novice
07d1cd3f834be181ee89efd660c4d584fd9288229ec09ae906c48306238326ff,27,0.5294117647058824,3.0,51,6.686274509803922,0.1397260273972602,9,12,16,6,8,-474,-23.7,2,Specialist
0addd785530bd754f6742a7893f6743c3de4db25e11197035fe53b18f63fcb21,12,0.3333333333333333,3.555555555555556,36,9.61111111111111,0.0986301369863013,11,5,10,6,4,846,42.3,0,Novice
0eef88d7e9202d2e2c5116874e8c10d2bc157c947adc68580508e1c3f507523e,13,0.3714285714285714,2.8857142857142857,34,10.2,0.0958904109589041,8,4,9,7,7,767,38.35,0,Novice
1545c09c7f8569938db2eb42b38a6b83c49a0b5cb3ba6870701d5febca265813,6,0.3,2.6,20,16.75,0.0547945205479452,4,5,5,3,3,-469,-23.45,2,Specialist
1756fecfa202f0eb1249752c5b6386d2bdc75b307354e3050920a47ef5cdcca6,11,0.3793103448275862,3.0689655172413794,29,11.758620689655173,0.0794520547945205,4,4,10,7,4,-289,-14.45,2,Specialist
18743ed46703c1a91b3a6d668c965a7971b2d3431b23082aa270beaa21fd8bc6,12,0.2608695652173913,2.9565217391304346,45,7.6521739130434785,0.1260273972602739,10,10,14,4,8,577,28.85,0,Novice
1e8fd0b4cdf84dc389f158893000639749e9292fec659dc7f886c8a602f085d2,9,0.3,2.9,29,11.866666666666667,0.0821917808219178,6,6,4,8,6,-129,-6.45,1,Improver
2263cb702f133c78ca16c02d1a10373a4a1be50c07b1b65b943b6b6e1a7fabbf,13,0.3823529411764705,2.9411764705882355,32,10.558823529411764,0.0931506849315068,2,7,11,6,8,44,2.2,1,Improver
279ac485b57745d2e7aba7e33b2af830c94a16e1f5014cc266963a68ffb58140,12,0.4,3.3,27,12.033333333333331,0.0821917808219178,5,6,9,5,5,796,39.8,0,Novice
2b999724ee3f5708e5f4d369595c33847aef2c729adfd02341591211f8b28c28,12,0.2926829268292683,3.2439024390243905,40,8.512195121951219,0.1123287671232876,10,7,13,4,7,-1041,-52.05,2,Specialist
313ce0557ee03a5ea240f0911c9adb1fa13536a6a6bd11ec77d1f9d871baff56,17,0.3953488372093023,3.302325581395349,40,8.186046511627907,0.1178082191780822,9,10,11,6,7,492,24.6,0,Novice
316318127caa71c1fa482202c7f24a2961c2737caee0d69f973892ab78d6d3bb,13,0.325,3.05,39,8.475,0.1095890410958904,10,9,10,7,4,688,34.4,0,Novice
36f51650554f18b2f85bf664659051a761d12d11785b6642afe031afde80a1d7,9,0.6,3.466666666666667,15,21.666666666666668,0.0410958904109589,1,7,2,3,2,-308,-15.4,2,Specialist
3e70bc0f82cec75bb4124987541c4a26b4818ee507a7c9907b6979bd28a09e44,15,0.4285714285714285,3.0285714285714285,33,10.028571428571428,0.0958904109589041,8,8,7,8,4,-843,-42.15,2,Specialist
46c1fafb5e7e8bdd35db262ecdf42956a4e01a1a16d07ef6d521346ee946166a,7,0.3684210526315789,2.736842105263158,18,18.105263157894736,0.0520547945205479,6,4,4,3,2,61,3.05,1,Improver
51694e6d3e79a736434de2ec500193d27807f3d5a61188b2601a29d2a78186ed,18,0.36,3.28,44,7.28,0.136986301369863,13,10,15,7,5,134,6.7,1,Improver
5575d1b3512d9f52d57f034d7948cb1fd179726f2f5d1ab9388c2a8f3d18ae76,20,0.4166666666666667,2.6666666666666665,46,7.291666666666667,0.1315068493150684,11,9,14,7,7,905,45.25,0,Novice
573baabb5ca42a23f3a118d027eadd8dc9bed70e40708a1b1ed9410b00feed0e,16,0.32,3.0,48,7.06,0.136986301369863,14,12,7,10,7,-88,-4.4,1,Improver
639a1e301c1c5620d03d23e2dc3bb122c34ba1ea3c85eaf109485f94e760693c,6,0.3529411764705882,3.117647058823529,17,19.176470588235293,0.0465753424657534,4,2,4,2,5,146,7.3,1,Improver
6b902cece245553e51d0b3c0ccec459cbad0e97a9ad934e603c0b5a5814f0714,13,0.3513513513513513,2.864864864864865,36,9.135135135135137,0.1013698630136986,9,5,9,10,4,258,12.9,1,Improver
6ba1c8aa0253c7268f87ab618b89086cd40aa9e9335ca52b0ccc65de71211991,11,0.282051282051282,2.641025641025641,34,8.41025641025641,0.1068493150684931,10,11,5,7,6,-332,-16.6,2,Specialist
75995947755fa76d56886efd30cb1c5f3e8e60145161dcb2ec0d33e4410c25cf,19,0.475,3.05,39,8.65,0.1095890410958904,9,6,11,10,4,-259,-12.95,2,Specialist
79b0aa0042b3c05617c378046a6553ec2cd81e9995959a6012f9b497a18ec82b,8,0.3076923076923077,3.3846153846153846,26,13.807692307692308,0.0712328767123287,7,3,10,2,4,122,6.1,1,Improver
86dcb774b7b2e89618392047420d5aca889dd90a8e44d670de0d071474eded07,7,0.3181818181818182,3.227272727272727,22,14.590909090909092,0.0602739726027397,3,5,6,4,4,486,24.3,0,Novice
88fbcd1c780ac5dd63988e11b6becc98080625035ba14647f93a834e5385fd64,6,0.2727272727272727,2.772727272727273,21,16.09090909090909,0.0602739726027397,4,4,6,5,3,784,39.2,0,Novice
90b6d3509ad349cc0dc93812e48e1755336625d299d4713e8cec3c602023fc45,17,0.3333333333333333,2.862745098039216,50,6.784313725490196,0.1397260273972602,15,10,12,5,9,293,14.65,1,Improver
95ae1e0c0f831c370199687c19db69a44d6f1d9986412a2422c0cf450048d3c7,15,0.3409090909090909,3.5,41,8.159090909090908,0.1205479452054794,14,8,9,7,6,1051,52.55,0,Novice
97f73cb38ad218abb60e933c5cf5460c2cabb2d9ec0722d3a457c3fd1d23544f,4,0.3076923076923077,3.4615384615384617,12,25.23076923076923,0.0356164383561643,3,1,5,1,3,-409,-20.45,2,Specialist
a8f5206313287ac51f63be6ac16d2badd9d2d71b781af7d0ddfa9e7f05df0a1b,12,0.2666666666666666,2.933333333333333,45,7.977777777777778,0.1232876712328767,8,7,13,9,8,296,14.8,1,Improver
aeea3b4f2ceeecfb103e26fd56fda62263e193b0f6be0cb1518c89df5addfe6f,15,0.3846153846153846,3.1538461538461537,35,8.846153846153847,0.1068493150684931,10,7,13,4,5,795,39.75,0,Novice
afa2dc6e90630b97eaa4cfc703f24d7ece8530c499e865d4746715e035357df9,16,0.4705882352941176,2.676470588235294,33,10.323529411764708,0.0931506849315068,9,6,8,5,6,839,41.95,0,Novice
b023832dc4eee493538d6e1ce1a3063eabbed1e8624077b198fc7c3d51ada549,6,0.3333333333333333,3.2222222222222223,18,14.944444444444445,0.0493150684931506,3,4,5,3,3,55,2.75,1,Improver
b4a820ab3ff66211639252135dc611266d93d3f363fd9e0113ecca8f07803f31,21,0.42,3.14,47,7.02,0.136986301369863,12,13,13,7,5,-430,-21.5,2,Specialist
b527198b5f787ecc913569c71bdaade906cc9f145d676832d117fd704cb16cdd,8,0.2758620689655172,3.034482758620689,26,11.862068965517242,0.0794520547945205,6,7,10,5,1,780,39.0,0,Novice
be74996ebc29dcb0765e255d1606aa74a45fea7c6af481dcb73505f6237d300d,6,0.375,2.875,16,16.0625,0.0438356164383561,4,3,2,3,4,-63,-3.15,1,Improver
c403b3c645114006c4a2b5b12bb8800e9bc3cb41b1e3980aceea9dd277936230,11,0.22,3.42,45,7.16,0.136986301369863,11,9,12,10,8,386,19.3,1,Improver
c650537eac62a7ea9a2aa4ab9e73cbf847c823d05377ffc82a1702d764002b70,14,0.2545454545454545,2.9454545454545453,51,6.381818181818182,0.1506849315068493,13,11,13,8,10,146,7.3,1,Improver
ce46e94dd877a19c5b6a8c513f86e800000893bcb14f90dccd3fdb932b6b5af0,27,0.4736842105263157,2.8947368421052637,53,6.280701754385965,0.1561643835616438,10,13,14,11,9,1121,56.05,0,Novice
d39f33d09bf080259380f4ec38f7610ba03db7c453b13e11477ec90ef53d7bcd,9,0.2368421052631578,3.0789473684210527,36,8.447368421052632,0.1041095890410958,8,8,7,9,6,-301,-15.05,2,Specialist
d92c7d4dac2c0610ea84d051aa1d01b676e99bc6829ed817d5ac81e99f1f5b0f,13,0.3513513513513513,3.216216216216216,33,9.27027027027027,0.1013698630136986,8,5,8,7,9,128,6.4,1,Improver
dc7e6e6c7c117049fe79174a64e7eadbf2b648fef5cc6a1280388063894fe69e,10,0.3333333333333333,2.833333333333333,30,11.466666666666669,0.0821917808219178,5,5,13,6,1,-461,-23.05,2,Specialist
de62fa62b260f071ede290e1cb31d0c18d192276ec518de2fcde14e0ca5a5517,10,0.2777777777777778,3.305555555555556,35,9.333333333333334,0.0986301369863013,8,5,10,8,5,303,15.15,1,Improver
e9bd6b8ee6bdf8e6158abb3bc6e474dd9de94ea893ea3c36ed8c7d2efa1fb604,27,0.4576271186440678,3.169491525423729,52,5.915254237288136,0.1616438356164383,13,11,14,10,11,-297,-14.85,2,Specialist
ece90885916cc1babb335bb6665fb741f06efec9e9fe64d535a23a429bfc7d6a,10,0.3571428571428571,2.892857142857143,27,12.535714285714286,0.0767123287671232,6,7,5,6,4,-443,-22.15,2,Specialist
ee5f7b1f1f73b63e7c197be699f6dbb09b7bbb11c84a31c6dde031f26a915c6f,7,0.1891891891891892,2.945945945945946,36,9.72972972972973,0.1013698630136986,8,5,9,7,8,313,15.65,1,Improver
eed63b15ad4ce05258b7e5b4a2eba61f8881f1f379611ecc5a4175b555f963b6,25,0.4310344827586206,3.0517241379310347,51,6.0344827586206895,0.1589041095890411,14,10,19,9,6,870,43.5,0,Novice
ef620c87c44356380e9064166a45ff25ef79994e34d544addac41e1708376212,6,0.2608695652173913,2.869565217391304,22,14.26086956521739,0.0630136986301369,7,6,5,4,1,78,3.9,1,Improver
f020f42719e61f4ea3f9543067b0361fd76aac1f8414e17b19ca4d26d1246f5e,7,0.3181818181818182,3.227272727272727,22,12.590909090909092,0.0602739726027397,3,8,5,5,1,48,2.4,1,Improver
